date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:02	728/728	------	200	untouched ('OK')	text/plain	etag:%2282f-620028587f396%22	https://www.dhs.gov/robots.txt		(from )
16:46:02	95203/95203	------	200	untouched ('OK')	text/html	etag:%221741908152%22	https://www.dhs.gov/publication/dhs-language-access-plans	D:/websites/dhs.gov/www.dhs.gov/publication/dhs-language-access-plans.html	(from )
16:46:02	156/156	------	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Mar%202025%2023:39:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/websites/dhs.gov/www.googletagmanager.com/gtm.25445.delayed	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:02	239934/239934	------	200	untouched ('')	application/javascript	etag:%223a93e-6300f05fb35c0%22	https://www.dhs.gov/sites/default/files/google_analytics/gtag.js?st2xsw	D:/websites/dhs.gov/www.dhs.gov/sites/default/files/google_analytics/gtag19bc.js	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:03	47998/47998	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%22bb7e-620065408595f%22	https://www.dhs.gov/themes/custom/dhs_uswds/favicon.ico	D:/websites/dhs.gov/www.dhs.gov/themes/custom/dhs_uswds/favicon.ico	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:03	255/255	---M-Z	200	added ('OK')	text/css	etag:%22ff-61f5db45680f8%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/system-status-report-general-info.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/system-status-report-general-info19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:03	373/373	---M-Z	200	added ('OK')	text/css	etag:%22175-61ff721c5ee1e%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/tablesort.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/tablesort.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:03	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-61f5db442f8f8%22	https://www.dhs.gov/profiles/dhsd8_gov/modules/contrib/extlink_extra/css/extlink_extra.508.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/profiles/dhsd8_gov/modules/contrib/extlink_extra/css/extlink_extra.50819bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:04	434/434	---M-Z	200	added ('OK')	text/css	etag:%221b2-61f5db456bf78%22	https://www.dhs.gov/themes/contrib/stable/css/views/views.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/views/views.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:46:04	1532/1532	------	200	untouched ('OK')	text/css	etag:%225fc-62fc1e3f3f731%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/core.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/core19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
